"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.44345,0,0,0,0.44345,0,1,0,0.5,0,0
0.44216,-0.00042548,-1.5544e-05,0,0.44216,-2.1812e-05,1,0.001,0.5,0.001,0
0.44087,-0.00085096,-3.1089e-05,0,0.44087,-4.3623e-05,1,0.002,0.5,0.002,0
0.43957,-0.0012764,-4.6633e-05,0,0.43957,-6.5435e-05,1,0.003,0.5,0.003,0
0.43828,-0.0017019,-6.2177e-05,0,0.43828,-8.7247e-05,1,0.004,0.5,0.004,0
0.43699,-0.0021274,-7.7722e-05,0,0.43699,-0.00010906,1,0.005,0.5,0.005,0
0.4357,-0.0025529,-9.3266e-05,0,0.4357,-0.00013087,1,0.006,0.5,0.006,0
0.43441,-0.0029784,-0.00010881,0,0.43441,-0.00015268,1,0.007,0.5,0.007,0
0.43311,-0.0034038,-0.00012435,0,0.43311,-0.00017449,1,0.008,0.5,0.008,0
0.43182,-0.0038293,-0.0001399,0,0.43182,-0.0001963,1,0.009,0.5,0.009,0
0.43053,-0.0042548,-0.00015544,0,0.43053,-0.00021812,1,0.01,0.5,0.01,0
0.42924,-0.0046803,-0.00017099,0,0.42924,-0.00023993,1,0.011,0.5,0.011,0
0.42795,-0.0051057,-0.00018653,0,0.42795,-0.00026174,1,0.012,0.5,0.012,0
0.42665,-0.0055312,-0.00020208,0,0.42665,-0.00028355,1,0.013,0.5,0.013,0
0.42536,-0.0059567,-0.00021762,0,0.42536,-0.00030536,1,0.014,0.5,0.014,0
0.42407,-0.0063822,-0.00023317,0,0.42407,-0.00032717,1,0.015,0.5,0.015,0
0.42278,-0.0068077,-0.00024871,0,0.42278,-0.00034899,1,0.016,0.5,0.016,0
0.42149,-0.0072331,-0.00026425,0,0.42149,-0.0003708,1,0.017,0.5,0.017,0
0.42019,-0.0076586,-0.0002798,0,0.42019,-0.00039261,1,0.018,0.5,0.018,0
0.4189,-0.0080841,-0.00029534,0,0.4189,-0.00041442,1,0.019,0.5,0.019,0
0.41761,-0.0085096,-0.00031089,0,0.41761,-0.00043623,1,0.02,0.5,0.02,0
0.41632,-0.0089351,-0.00032643,0,0.41632,-0.00045804,1,0.021,0.5,0.021,0
0.41503,-0.0093605,-0.00034198,0,0.41503,-0.00047986,1,0.022,0.5,0.022,0
0.41373,-0.009786,-0.00035752,0,0.41373,-0.00050167,1,0.023,0.5,0.023,0
0.41244,-0.010211,-0.00037306,0,0.41244,-0.00052348,1,0.024,0.5,0.024,0
0.41115,-0.010637,-0.00038861,0,0.41115,-0.00054529,1,0.025,0.5,0.025,0
0.40986,-0.011062,-0.00040415,0,0.40986,-0.0005671,1,0.026,0.5,0.026,0
0.40857,-0.011488,-0.0004197,0,0.40857,-0.00058891,1,0.027,0.5,0.027,0
0.40727,-0.011913,-0.00043524,0,0.40727,-0.00061073,1,0.028,0.5,0.028,0
0.40598,-0.012339,-0.00045079,0,0.40598,-0.00063254,1,0.029,0.5,0.029,0
0.40469,-0.012764,-0.00046633,0,0.40469,-0.00065435,1,0.03,0.5,0.03,0
0.4034,-0.01319,-0.00048188,0,0.4034,-0.00067616,1,0.031,0.5,0.031,0
0.40211,-0.013615,-0.00049742,0,0.40211,-0.00069797,1,0.032,0.5,0.032,0
0.40081,-0.014041,-0.00051296,0,0.40081,-0.00071978,1,0.033,0.5,0.033,0
0.39952,-0.014466,-0.00052851,0,0.39952,-0.0007416,1,0.034,0.5,0.034,0
0.39823,-0.014892,-0.00054405,0,0.39823,-0.00076341,1,0.035,0.5,0.035,0
0.39694,-0.015317,-0.0005596,0,0.39694,-0.00078522,1,0.036,0.5,0.036,0
0.39565,-0.015743,-0.00057514,0,0.39565,-0.00080703,1,0.037,0.5,0.037,0
0.39435,-0.016168,-0.00059069,0,0.39435,-0.00082884,1,0.038,0.5,0.038,0
0.39306,-0.016594,-0.00060623,0,0.39306,-0.00085065,1,0.039,0.5,0.039,0
0.39177,-0.017019,-0.00062177,0,0.39177,-0.00087247,1,0.04,0.5,0.04,0
0.39048,-0.017445,-0.00063732,0,0.39048,-0.00089428,1,0.041,0.5,0.041,0
0.38919,-0.01787,-0.00065286,0,0.38919,-0.00091609,1,0.042,0.5,0.042,0
0.38789,-0.018296,-0.00066841,0,0.38789,-0.0009379,1,0.043,0.5,0.043,0
0.3866,-0.018721,-0.00068395,0,0.3866,-0.00095971,1,0.044,0.5,0.044,0
0.38531,-0.019147,-0.0006995,0,0.38531,-0.00098152,1,0.045,0.5,0.045,0
0.38402,-0.019572,-0.00071504,0,0.38402,-0.0010033,1,0.046,0.5,0.046,0
0.38273,-0.019998,-0.00073059,0,0.38273,-0.0010251,1,0.047,0.5,0.047,0
0.38143,-0.020423,-0.00074613,0,0.38143,-0.001047,1,0.048,0.5,0.048,0
0.38014,-0.020848,-0.00076167,0,0.38014,-0.0010688,1,0.049,0.5,0.049,0
0.37885,-0.021274,-0.00077722,0,0.37885,-0.0010906,1,0.05,0.5,0.05,0
0.37756,-0.021699,-0.00079276,0,0.37756,-0.0011124,1,0.051,0.5,0.051,0
0.37627,-0.022125,-0.00080831,0,0.37627,-0.0011342,1,0.052,0.5,0.052,0
0.37497,-0.02255,-0.00082385,0,0.37497,-0.001156,1,0.053,0.5,0.053,0
0.37368,-0.022976,-0.0008394,0,0.37368,-0.0011778,1,0.054,0.5,0.054,0
0.37239,-0.023401,-0.00085494,0,0.37239,-0.0011996,1,0.055,0.5,0.055,0
0.3711,-0.023827,-0.00087048,0,0.3711,-0.0012215,1,0.056,0.5,0.056,0
0.36981,-0.024252,-0.00088603,0,0.36981,-0.0012433,1,0.057,0.5,0.057,0
0.36851,-0.024678,-0.00090157,0,0.36851,-0.0012651,1,0.058,0.5,0.058,0
0.36722,-0.025103,-0.00091712,0,0.36722,-0.0012869,1,0.059,0.5,0.059,0
0.36593,-0.025529,-0.00093266,0,0.36593,-0.0013087,1,0.06,0.5,0.06,0
0.36464,-0.025954,-0.00094821,0,0.36464,-0.0013305,1,0.061,0.5,0.061,0
0.36335,-0.02638,-0.00096375,0,0.36335,-0.0013523,1,0.062,0.5,0.062,0
0.36205,-0.026805,-0.0009793,0,0.36205,-0.0013741,1,0.063,0.5,0.063,0
0.36076,-0.027231,-0.00099484,0,0.36076,-0.0013959,1,0.064,0.5,0.064,0
0.35947,-0.027656,-0.0010104,0,0.35947,-0.0014178,1,0.065,0.5,0.065,0
0.35818,-0.028082,-0.0010259,0,0.35818,-0.0014396,1,0.066,0.5,0.066,0
0.35688,-0.028507,-0.0010415,0,0.35688,-0.0014614,1,0.067,0.5,0.067,0
0.35559,-0.028933,-0.001057,0,0.35559,-0.0014832,1,0.068,0.5,0.068,0
0.3543,-0.029358,-0.0010726,0,0.3543,-0.001505,1,0.069,0.5,0.069,0
0.35301,-0.029784,-0.0010881,0,0.35301,-0.0015268,1,0.07,0.5,0.07,0
0.35172,-0.030209,-0.0011037,0,0.35172,-0.0015486,1,0.071,0.5,0.071,0
0.35042,-0.030634,-0.0011192,0,0.35042,-0.0015704,1,0.072,0.5,0.072,0
0.34913,-0.03106,-0.0011347,0,0.34913,-0.0015923,1,0.073,0.5,0.073,0
0.34784,-0.031485,-0.0011503,0,0.34784,-0.0016141,1,0.074,0.5,0.074,0
0.34655,-0.031911,-0.0011658,0,0.34655,-0.0016359,1,0.075,0.5,0.075,0
0.34526,-0.032336,-0.0011814,0,0.34526,-0.0016577,1,0.076,0.5,0.076,0
0.34396,-0.032762,-0.0011969,0,0.34396,-0.0016795,1,0.077,0.5,0.077,0
0.34267,-0.033187,-0.0012125,0,0.34267,-0.0017013,1,0.078,0.5,0.078,0
0.34138,-0.033613,-0.001228,0,0.34138,-0.0017231,1,0.079,0.5,0.079,0
0.34009,-0.034038,-0.0012435,0,0.34009,-0.0017449,1,0.08,0.5,0.08,0
0.3388,-0.034464,-0.0012591,0,0.3388,-0.0017667,1,0.081,0.5,0.081,0
0.3375,-0.034889,-0.0012746,0,0.3375,-0.0017886,1,0.082,0.5,0.082,0
0.33621,-0.035315,-0.0012902,0,0.33621,-0.0018104,1,0.083,0.5,0.083,0
0.33492,-0.03574,-0.0013057,0,0.33492,-0.0018322,1,0.084,0.5,0.084,0
0.33363,-0.036166,-0.0013213,0,0.33363,-0.001854,1,0.085,0.5,0.085,0
0.33234,-0.036591,-0.0013368,0,0.33234,-0.0018758,1,0.086,0.5,0.086,0
0.33104,-0.037017,-0.0013524,0,0.33104,-0.0018976,1,0.087,0.5,0.087,0
0.32975,-0.037442,-0.0013679,0,0.32975,-0.0019194,1,0.088,0.5,0.088,0
0.32846,-0.037868,-0.0013834,0,0.32846,-0.0019412,1,0.089,0.5,0.089,0
0.32717,-0.038293,-0.001399,0,0.32717,-0.001963,1,0.09,0.5,0.09,0
0.32588,-0.038719,-0.0014145,0,0.32588,-0.0019849,1,0.091,0.5,0.091,0
0.32458,-0.039144,-0.0014301,0,0.32458,-0.0020067,1,0.092,0.5,0.092,0
0.32329,-0.03957,-0.0014456,0,0.32329,-0.0020285,1,0.093,0.5,0.093,0
0.32211,-0.039987,-0.0014551,0,0.32211,-0.0020623,1,0.094,0.5,0.094,0
0.32108,-0.040394,-0.0014555,0,0.32108,-0.0021136,1,0.095,0.5,0.095,0
0.32006,-0.0408,-0.0014559,0,0.32006,-0.0021649,1,0.096,0.5,0.096,0
0.31903,-0.041207,-0.0014564,0,0.31903,-0.0022163,1,0.097,0.5,0.097,0
0.31801,-0.041613,-0.0014568,0,0.31801,-0.0022676,1,0.098,0.5,0.098,0
0.31698,-0.04202,-0.0014572,0,0.31698,-0.0023189,1,0.099,0.5,0.099,0
0.31596,-0.042426,-0.0014577,0,0.31596,-0.0023703,1,0.1,0.5,0.1,0
0.31493,-0.042833,-0.0014581,0,0.31493,-0.0024216,1,0.101,0.5,0.101,0
0.3139,-0.043239,-0.0014586,0,0.3139,-0.0024729,1,0.102,0.5,0.102,0
0.31288,-0.043646,-0.001459,0,0.31288,-0.0025243,1,0.103,0.5,0.103,0
0.31185,-0.044052,-0.0014594,0,0.31185,-0.0025756,1,0.104,0.5,0.104,0
0.31083,-0.044459,-0.0014599,0,0.31083,-0.002627,1,0.105,0.5,0.105,0
0.3098,-0.044865,-0.0014603,0,0.3098,-0.0026783,1,0.106,0.5,0.106,0
0.30878,-0.045272,-0.0014607,0,0.30878,-0.0027296,1,0.107,0.5,0.107,0
0.30775,-0.045678,-0.0014612,0,0.30775,-0.002781,1,0.108,0.5,0.108,0
0.30673,-0.046085,-0.0014616,0,0.30673,-0.0028323,1,0.109,0.5,0.109,0
0.3057,-0.046491,-0.0014621,0,0.3057,-0.0028836,1,0.11,0.5,0.11,0
0.30468,-0.046898,-0.0014625,0,0.30468,-0.002935,1,0.111,0.5,0.111,0
0.30365,-0.047304,-0.0014629,0,0.30365,-0.0029863,1,0.112,0.5,0.112,0
0.30263,-0.047711,-0.0014634,0,0.30263,-0.0030376,1,0.113,0.5,0.113,0
0.3016,-0.048117,-0.0014638,0,0.3016,-0.003089,1,0.114,0.5,0.114,0
0.30057,-0.048524,-0.0014642,0,0.30057,-0.0031403,1,0.115,0.5,0.115,0
0.29955,-0.04893,-0.0014647,0,0.29955,-0.0031916,1,0.116,0.5,0.116,0
0.29852,-0.049337,-0.0014651,0,0.29852,-0.003243,1,0.117,0.5,0.117,0
0.2975,-0.049743,-0.0014656,0,0.2975,-0.0032943,1,0.118,0.5,0.118,0
0.29647,-0.050149,-0.001466,0,0.29647,-0.0033457,1,0.119,0.5,0.119,0
0.29545,-0.050556,-0.0014664,0,0.29545,-0.003397,1,0.12,0.5,0.12,0
0.29442,-0.050962,-0.0014669,0,0.29442,-0.0034483,1,0.121,0.5,0.121,0
0.2934,-0.051369,-0.0014673,0,0.2934,-0.0034997,1,0.122,0.5,0.122,0
0.29237,-0.051775,-0.0014678,0,0.29237,-0.003551,1,0.123,0.5,0.123,0
0.29135,-0.052182,-0.0014682,0,0.29135,-0.0036023,1,0.124,0.5,0.124,0
0.29032,-0.052588,-0.0014686,0,0.29032,-0.0036537,1,0.125,0.5,0.125,0
0.28929,-0.052995,-0.0014691,0,0.28929,-0.003705,1,0.126,0.5,0.126,0
0.28827,-0.053401,-0.0014695,0,0.28827,-0.0037563,1,0.127,0.5,0.127,0
0.28724,-0.053808,-0.0014699,0,0.28724,-0.0038077,1,0.128,0.5,0.128,0
0.28635,-0.054126,-0.0014996,0,0.28635,-0.0038751,1,0.129,0.5,0.129,0
0.28546,-0.054442,-0.0015303,0,0.28546,-0.0039431,1,0.13,0.5,0.13,0
0.28457,-0.054757,-0.001561,0,0.28457,-0.004011,1,0.131,0.5,0.131,0
0.28368,-0.055073,-0.0015917,0,0.28368,-0.004079,1,0.132,0.5,0.132,0
0.28278,-0.055388,-0.0016224,0,0.28278,-0.004147,1,0.133,0.5,0.133,0
0.28189,-0.055704,-0.0016531,0,0.28189,-0.0042149,1,0.134,0.5,0.134,0
0.281,-0.056019,-0.0016838,0,0.281,-0.0042829,1,0.135,0.5,0.135,0
0.28011,-0.056335,-0.0017145,0,0.28011,-0.0043509,1,0.136,0.5,0.136,0
0.27922,-0.05665,-0.0017452,0,0.27922,-0.0044188,1,0.137,0.5,0.137,0
0.27833,-0.056966,-0.001776,0,0.27833,-0.0044868,1,0.138,0.5,0.138,0
0.27744,-0.057281,-0.0018067,0,0.27744,-0.0045548,1,0.139,0.5,0.139,0
0.27655,-0.057597,-0.0018374,0,0.27655,-0.0046227,1,0.14,0.5,0.14,0
0.27566,-0.057912,-0.0018681,0,0.27566,-0.0046907,1,0.141,0.5,0.141,0
0.27477,-0.058228,-0.0018988,0,0.27477,-0.0047587,1,0.142,0.5,0.142,0
0.27388,-0.058543,-0.0019295,0,0.27388,-0.0048266,1,0.143,0.5,0.143,0
0.27299,-0.058858,-0.0019602,0,0.27299,-0.0048946,1,0.144,0.5,0.144,0
0.27209,-0.059174,-0.0019909,0,0.27209,-0.0049626,1,0.145,0.5,0.145,0
0.2712,-0.059489,-0.0020216,0,0.2712,-0.0050305,1,0.146,0.5,0.146,0
0.27031,-0.059805,-0.0020523,0,0.27031,-0.0050985,1,0.147,0.5,0.147,0
0.26942,-0.06012,-0.002083,0,0.26942,-0.0051665,1,0.148,0.5,0.148,0
0.26853,-0.060436,-0.0021137,0,0.26853,-0.0052344,1,0.149,0.5,0.149,0
0.26764,-0.060751,-0.0021444,0,0.26764,-0.0053024,1,0.15,0.5,0.15,0
0.26675,-0.061067,-0.0021751,0,0.26675,-0.0053704,1,0.151,0.5,0.151,0
0.26586,-0.061382,-0.0022058,0,0.26586,-0.0054383,1,0.152,0.5,0.152,0
0.26497,-0.061698,-0.0022365,0,0.26497,-0.0055063,1,0.153,0.5,0.153,0
0.26408,-0.062013,-0.0022672,0,0.26408,-0.0055743,1,0.154,0.5,0.154,0
0.26319,-0.062329,-0.0022979,0,0.26319,-0.0056422,1,0.155,0.5,0.155,0
0.2623,-0.062644,-0.0023286,0,0.2623,-0.0057102,1,0.156,0.5,0.156,0
0.26141,-0.06296,-0.0023593,0,0.26141,-0.0057782,1,0.157,0.5,0.157,0
0.26051,-0.063275,-0.00239,0,0.26051,-0.0058461,1,0.158,0.5,0.158,0
0.25962,-0.063591,-0.0024207,0,0.25962,-0.0059141,1,0.159,0.5,0.159,0
0.25873,-0.063906,-0.0024514,0,0.25873,-0.0059821,1,0.16,0.5,0.16,0
0.25784,-0.064221,-0.0024821,0,0.25784,-0.00605,1,0.161,0.5,0.161,0
0.25695,-0.064537,-0.0025128,0,0.25695,-0.006118,1,0.162,0.5,0.162,0
0.25606,-0.064852,-0.0025435,0,0.25606,-0.006186,1,0.163,0.5,0.163,0
0.25517,-0.065168,-0.0025742,0,0.25517,-0.0062539,1,0.164,0.5,0.164,0
0.25428,-0.065483,-0.0026049,0,0.25428,-0.0063219,1,0.165,0.5,0.165,0
0.25339,-0.065799,-0.0026356,0,0.25339,-0.0063899,1,0.166,0.5,0.166,0
0.2525,-0.066114,-0.0026663,0,0.2525,-0.0064578,1,0.167,0.5,0.167,0
0.25161,-0.06643,-0.002697,0,0.25161,-0.0065258,1,0.168,0.5,0.168,0
0.25072,-0.066745,-0.0027277,0,0.25072,-0.0065938,1,0.169,0.5,0.169,0
0.24982,-0.067061,-0.0027584,0,0.24982,-0.0066617,1,0.17,0.5,0.17,0
0.24893,-0.067376,-0.0027891,0,0.24893,-0.0067297,1,0.171,0.5,0.171,0
0.24804,-0.067692,-0.0028198,0,0.24804,-0.0067977,1,0.172,0.5,0.172,0
0.24715,-0.068007,-0.0028505,0,0.24715,-0.0068656,1,0.173,0.5,0.173,0
0.24626,-0.068323,-0.0028812,0,0.24626,-0.0069336,1,0.174,0.5,0.174,0
0.24537,-0.068638,-0.0029119,0,0.24537,-0.0070016,1,0.175,0.5,0.175,0
0.24448,-0.068954,-0.0029426,0,0.24448,-0.0070695,1,0.176,0.5,0.176,0
0.24359,-0.069269,-0.0029733,0,0.24359,-0.0071375,1,0.177,0.5,0.177,0
0.2427,-0.069584,-0.003004,0,0.2427,-0.0072055,1,0.178,0.5,0.178,0
0.24181,-0.0699,-0.0030347,0,0.24181,-0.0072734,1,0.179,0.5,0.179,0
0.24092,-0.070215,-0.0030655,0,0.24092,-0.0073414,1,0.18,0.5,0.18,0
0.24003,-0.070531,-0.0030962,0,0.24003,-0.0074094,1,0.181,0.5,0.181,0
0.23913,-0.070846,-0.0031269,0,0.23913,-0.0074773,1,0.182,0.5,0.182,0
0.23824,-0.071162,-0.0031576,0,0.23824,-0.0075453,1,0.183,0.5,0.183,0
0.23735,-0.071477,-0.0031883,0,0.23735,-0.0076133,1,0.184,0.5,0.184,0
0.23646,-0.071793,-0.003219,0,0.23646,-0.0076812,1,0.185,0.5,0.185,0
0.23557,-0.072108,-0.0032497,0,0.23557,-0.0077492,1,0.186,0.5,0.186,0
0.23468,-0.072424,-0.0032804,0,0.23468,-0.0078172,1,0.187,0.5,0.187,0
0.23379,-0.072739,-0.0033111,0,0.23379,-0.0078851,1,0.188,0.5,0.188,0
0.2329,-0.073055,-0.0033418,0,0.2329,-0.0079531,1,0.189,0.5,0.189,0
0.23201,-0.07337,-0.0033725,0,0.23201,-0.0080211,1,0.19,0.5,0.19,0
0.23112,-0.073686,-0.0034032,0,0.23112,-0.008089,1,0.191,0.5,0.191,0
0.23023,-0.074001,-0.0034339,0,0.23023,-0.008157,1,0.192,0.5,0.192,0
0.22934,-0.074317,-0.0034646,0,0.22934,-0.008225,1,0.193,0.5,0.193,0
0.22844,-0.074632,-0.0034953,0,0.22844,-0.0082929,1,0.194,0.5,0.194,0
0.22755,-0.074948,-0.003526,0,0.22755,-0.0083609,1,0.195,0.5,0.195,0
0.22666,-0.075263,-0.0035567,0,0.22666,-0.0084289,1,0.196,0.5,0.196,0
0.22577,-0.075578,-0.0035874,0,0.22577,-0.0084968,1,0.197,0.5,0.197,0
0.22488,-0.075894,-0.0036181,0,0.22488,-0.0085648,1,0.198,0.5,0.198,0
0.22399,-0.076209,-0.0036488,0,0.22399,-0.0086328,1,0.199,0.5,0.199,0
0.2231,-0.076525,-0.0036795,0,0.2231,-0.0087007,1,0.2,0.5,0.2,0
0.22211,-0.076824,-0.0035879,0,0.22211,-0.0087738,1,0.201,0.5,0.201,0
0.22111,-0.077123,-0.0034858,0,0.22111,-0.0088474,1,0.202,0.5,0.202,0
0.22012,-0.077421,-0.0033837,0,0.22012,-0.0089209,1,0.203,0.5,0.203,0
0.21912,-0.077719,-0.0032816,0,0.21912,-0.0089945,1,0.204,0.5,0.204,0
0.21812,-0.078017,-0.0031795,0,0.21812,-0.009068,1,0.205,0.5,0.205,0
0.21712,-0.078315,-0.0030774,0,0.21712,-0.0091415,1,0.206,0.5,0.206,0
0.21612,-0.078614,-0.0029753,0,0.21612,-0.0092151,1,0.207,0.5,0.207,0
0.21513,-0.078912,-0.0028732,0,0.21513,-0.0092886,1,0.208,0.5,0.208,0
0.21406,-0.079321,-0.0028303,0,0.21406,-0.0093735,1,0.209,0.5,0.209,0
0.21288,-0.079901,-0.002878,0,0.21288,-0.0094758,1,0.21,0.5,0.21,0
0.2117,-0.080481,-0.0029258,0,0.2117,-0.0095781,1,0.211,0.5,0.211,0
0.21053,-0.081061,-0.0029735,0,0.21053,-0.0096805,1,0.212,0.5,0.212,0
0.20935,-0.081641,-0.0030213,0,0.20935,-0.0097828,1,0.213,0.5,0.213,0
0.20817,-0.082221,-0.0030691,0,0.20817,-0.0098851,1,0.214,0.5,0.214,0
0.207,-0.0828,-0.0031168,0,0.207,-0.0099874,1,0.215,0.5,0.215,0
0.20582,-0.08338,-0.0031646,0,0.20582,-0.01009,1,0.216,0.5,0.216,0
0.20464,-0.08396,-0.0032123,0,0.20464,-0.010192,1,0.217,0.5,0.217,0
0.20346,-0.08454,-0.0032601,0,0.20346,-0.010294,1,0.218,0.5,0.218,0
0.20229,-0.08512,-0.0033078,0,0.20229,-0.010397,1,0.219,0.5,0.219,0
0.20111,-0.0857,-0.0033556,0,0.20111,-0.010499,1,0.22,0.5,0.22,0
0.19993,-0.08628,-0.0034034,0,0.19993,-0.010601,1,0.221,0.5,0.221,0
0.19876,-0.086859,-0.0034511,0,0.19876,-0.010704,1,0.222,0.5,0.222,0
0.19758,-0.087439,-0.0034989,0,0.19758,-0.010806,1,0.223,0.5,0.223,0
0.1964,-0.088019,-0.0035466,0,0.1964,-0.010908,1,0.224,0.5,0.224,0
0.19523,-0.088599,-0.0035944,0,0.19523,-0.011011,1,0.225,0.5,0.225,0
0.19405,-0.089179,-0.0036421,0,0.19405,-0.011113,1,0.226,0.5,0.226,0
0.19287,-0.089759,-0.0036899,0,0.19287,-0.011215,1,0.227,0.5,0.227,0
0.19169,-0.090339,-0.0037376,0,0.19169,-0.011318,1,0.228,0.5,0.228,0
0.19052,-0.090918,-0.0037854,0,0.19052,-0.01142,1,0.229,0.5,0.229,0
0.18934,-0.091498,-0.0038332,0,0.18934,-0.011522,1,0.23,0.5,0.23,0
0.18816,-0.092078,-0.0038809,0,0.18816,-0.011625,1,0.231,0.5,0.231,0
0.18699,-0.092658,-0.0039287,0,0.18699,-0.011727,1,0.232,0.5,0.232,0
0.18581,-0.093238,-0.0039764,0,0.18581,-0.011829,1,0.233,0.5,0.233,0
0.18463,-0.093818,-0.0040242,0,0.18463,-0.011931,1,0.234,0.5,0.234,0
0.18346,-0.094398,-0.0040719,0,0.18346,-0.012034,1,0.235,0.5,0.235,0
0.18228,-0.094977,-0.0041197,0,0.18228,-0.012136,1,0.236,0.5,0.236,0
0.1811,-0.095557,-0.0041675,0,0.1811,-0.012238,1,0.237,0.5,0.237,0
0.17992,-0.096137,-0.0042152,0,0.17992,-0.012341,1,0.238,0.5,0.238,0
0.17875,-0.096717,-0.004263,0,0.17875,-0.012443,1,0.239,0.5,0.239,0
0.17757,-0.097297,-0.0043107,0,0.17757,-0.012545,1,0.24,0.5,0.24,0
0.17639,-0.097877,-0.0043585,0,0.17639,-0.012648,1,0.241,0.5,0.241,0
0.17522,-0.098457,-0.0044062,0,0.17522,-0.01275,1,0.242,0.5,0.242,0
0.17404,-0.099036,-0.004454,0,0.17404,-0.012852,1,0.243,0.5,0.243,0
0.17286,-0.099616,-0.0045018,0,0.17286,-0.012955,1,0.244,0.5,0.244,0
0.17168,-0.1002,-0.0045495,0,0.17168,-0.013057,1,0.245,0.5,0.245,0
0.17051,-0.10078,-0.0045973,0,0.17051,-0.013159,1,0.246,0.5,0.246,0
0.16933,-0.10136,-0.004645,0,0.16933,-0.013262,1,0.247,0.5,0.247,0
0.16815,-0.10194,-0.0046928,0,0.16815,-0.013364,1,0.248,0.5,0.248,0
0.16698,-0.10252,-0.0047405,0,0.16698,-0.013466,1,0.249,0.5,0.249,0
0.1658,-0.1031,-0.0047883,0,0.1658,-0.013569,1,0.25,0.5,0.25,0
0.16462,-0.10368,-0.004836,0,0.16462,-0.013671,1,0.251,0.5,0.251,0
0.16348,-0.10424,-0.0048841,0,0.16348,-0.013771,1,0.252,0.5,0.252,0
0.16239,-0.1048,-0.0049326,0,0.16239,-0.013868,1,0.253,0.5,0.253,0
0.1613,-0.10535,-0.004981,0,0.1613,-0.013965,1,0.254,0.5,0.254,0
0.16021,-0.1059,-0.0050295,0,0.16021,-0.014062,1,0.255,0.5,0.255,0
0.15912,-0.10645,-0.005078,0,0.15912,-0.014159,1,0.256,0.5,0.256,0
0.15803,-0.10701,-0.0051265,0,0.15803,-0.014256,1,0.257,0.5,0.257,0
0.15694,-0.10756,-0.005175,0,0.15694,-0.014353,1,0.258,0.5,0.258,0
0.15585,-0.10811,-0.0052234,0,0.15585,-0.01445,1,0.259,0.5,0.259,0
0.15476,-0.10866,-0.0052719,0,0.15476,-0.014547,1,0.26,0.5,0.26,0
0.15367,-0.10922,-0.0053204,0,0.15367,-0.014644,1,0.261,0.5,0.261,0
0.15258,-0.10977,-0.0053689,0,0.15258,-0.014741,1,0.262,0.5,0.262,0
0.15149,-0.11032,-0.0054173,0,0.15149,-0.014838,1,0.263,0.5,0.263,0
0.1504,-0.11087,-0.0054658,0,0.1504,-0.014935,1,0.264,0.5,0.264,0
0.14931,-0.11143,-0.0055143,0,0.14931,-0.015032,1,0.265,0.5,0.265,0
0.14822,-0.11198,-0.0055628,0,0.14822,-0.015129,1,0.266,0.5,0.266,0
0.14713,-0.11253,-0.0056113,0,0.14713,-0.015226,1,0.267,0.5,0.267,0
0.14604,-0.11308,-0.0056597,0,0.14604,-0.015323,1,0.268,0.5,0.268,0
0.14495,-0.11364,-0.0057082,0,0.14495,-0.01542,1,0.269,0.5,0.269,0
0.14386,-0.11419,-0.0057567,0,0.14386,-0.015517,1,0.27,0.5,0.27,0
0.14277,-0.11474,-0.0058052,0,0.14277,-0.015614,1,0.271,0.5,0.271,0
0.14168,-0.11529,-0.0058537,0,0.14168,-0.015711,1,0.272,0.5,0.272,0
0.14059,-0.11585,-0.0059021,0,0.14059,-0.015808,1,0.273,0.5,0.273,0
0.1395,-0.1164,-0.0059506,0,0.1395,-0.015905,1,0.274,0.5,0.274,0
0.13841,-0.11695,-0.0059991,0,0.13841,-0.016002,1,0.275,0.5,0.275,0
0.13732,-0.1175,-0.0060476,0,0.13732,-0.016099,1,0.276,0.5,0.276,0
0.13623,-0.11806,-0.006096,0,0.13623,-0.016196,1,0.277,0.5,0.277,0
0.13514,-0.11861,-0.0061445,0,0.13514,-0.016293,1,0.278,0.5,0.278,0
0.13405,-0.11916,-0.006193,0,0.13405,-0.01639,1,0.279,0.5,0.279,0
0.13248,-0.11959,-0.0062515,0,0.13248,-0.016518,1,0.28,0.5,0.28,0
0.13086,-0.12002,-0.0063108,0,0.13086,-0.016648,1,0.281,0.5,0.281,0
0.12925,-0.12044,-0.0063701,0,0.12925,-0.016779,1,0.282,0.5,0.282,0
0.12764,-0.12086,-0.0064294,0,0.12764,-0.016909,1,0.283,0.5,0.283,0
0.12603,-0.12128,-0.0064887,0,0.12603,-0.017039,1,0.284,0.5,0.284,0
0.12442,-0.1217,-0.006548,0,0.12442,-0.01717,1,0.285,0.5,0.285,0
0.12281,-0.12212,-0.0066073,0,0.12281,-0.0173,1,0.286,0.5,0.286,0
0.1212,-0.12255,-0.0066667,0,0.1212,-0.017431,1,0.287,0.5,0.287,0
0.11959,-0.12295,-0.0067174,0,0.11959,-0.01756,1,0.288,0.5,0.288,0
0.11806,-0.12326,-0.0067049,0,0.11806,-0.017681,1,0.289,0.5,0.289,0
0.11652,-0.12356,-0.0066924,0,0.11652,-0.017802,1,0.29,0.5,0.29,0
0.11498,-0.12387,-0.0066798,0,0.11498,-0.017923,1,0.291,0.5,0.291,0
