"scalar1","vector:0","vector:1","vector:2","scalar2","scalar3","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.8294,0,0,0,-5.8294,0,1,0,5,0,0
-5.8178,0.0055898,6.3624e-06,0,-5.8178,0.00027097,1,0.001,5,0.001,0
-5.8063,0.01118,1.2725e-05,0,-5.8063,0.00054193,1,0.002,5,0.002,0
-5.7947,0.016769,1.9087e-05,0,-5.7947,0.0008129,1,0.003,5,0.003,0
-5.7832,0.022359,2.545e-05,0,-5.7832,0.0010839,1,0.004,5,0.004,0
-5.7716,0.027949,3.1812e-05,0,-5.7716,0.0013548,1,0.005,5,0.005,0
-5.7601,0.033539,3.8175e-05,0,-5.7601,0.0016258,1,0.006,5,0.006,0
-5.7485,0.039129,4.4537e-05,0,-5.7485,0.0018968,1,0.007,5,0.007,0
-5.737,0.044718,5.0899e-05,0,-5.737,0.0021677,1,0.008,5,0.008,0
-5.7254,0.050308,5.7262e-05,0,-5.7254,0.0024387,1,0.009,5,0.009,0
-5.7139,0.055898,6.3624e-05,0,-5.7139,0.0027097,1,0.01,5,0.01,0
-5.7023,0.061488,6.9987e-05,0,-5.7023,0.0029806,1,0.011,5,0.011,0
-5.6908,0.067078,7.6349e-05,0,-5.6908,0.0032516,1,0.012,5,0.012,0
-5.6792,0.072667,8.2711e-05,0,-5.6792,0.0035226,1,0.013,5,0.013,0
-5.6677,0.078257,8.9074e-05,0,-5.6677,0.0037935,1,0.014,5,0.014,0
-5.6561,0.083847,9.5436e-05,0,-5.6561,0.0040645,1,0.015,5,0.015,0
-5.6446,0.089437,0.0001018,0,-5.6446,0.0043355,1,0.016,5,0.016,0
-5.633,0.095027,0.00010816,0,-5.633,0.0046064,1,0.017,5,0.017,0
-5.6215,0.10062,0.00011452,0,-5.6215,0.0048774,1,0.018,5,0.018,0
-5.6099,0.10621,0.00012089,0,-5.6099,0.0051484,1,0.019,5,0.019,0
-5.5984,0.1118,0.00012725,0,-5.5984,0.0054193,1,0.02,5,0.02,0
-5.5868,0.11739,0.00013361,0,-5.5868,0.0056903,1,0.021,5,0.021,0
-5.5753,0.12298,0.00013997,0,-5.5753,0.0059612,1,0.022,5,0.022,0
-5.5637,0.12857,0.00014634,0,-5.5637,0.0062322,1,0.023,5,0.023,0
-5.5522,0.13416,0.0001527,0,-5.5522,0.0065032,1,0.024,5,0.024,0
-5.5406,0.13975,0.00015906,0,-5.5406,0.0067741,1,0.025,5,0.025,0
-5.5291,0.14533,0.00016542,0,-5.5291,0.0070451,1,0.026,5,0.026,0
-5.5175,0.15092,0.00017179,0,-5.5175,0.0073161,1,0.027,5,0.027,0
-5.506,0.15651,0.00017815,0,-5.506,0.007587,1,0.028,5,0.028,0
-5.4944,0.1621,0.00018451,0,-5.4944,0.007858,1,0.029,5,0.029,0
-5.4829,0.16769,0.00019087,0,-5.4829,0.008129,1,0.03,5,0.03,0
-5.4713,0.17328,0.00019724,0,-5.4713,0.0083999,1,0.031,5,0.031,0
-5.4598,0.17887,0.0002036,0,-5.4598,0.0086709,1,0.032,5,0.032,0
-5.4482,0.18446,0.00020996,0,-5.4482,0.0089419,1,0.033,5,0.033,0
-5.4367,0.19005,0.00021632,0,-5.4367,0.0092128,1,0.034,5,0.034,0
-5.4251,0.19564,0.00022268,0,-5.4251,0.0094838,1,0.035,5,0.035,0
-5.4136,0.20123,0.00022905,0,-5.4136,0.0097548,1,0.036,5,0.036,0
-5.402,0.20682,0.00023541,0,-5.402,0.010026,1,0.037,5,0.037,0
-5.3905,0.21241,0.00024177,0,-5.3905,0.010297,1,0.038,5,0.038,0
-5.3789,0.218,0.00024813,0,-5.3789,0.010568,1,0.039,5,0.039,0
-5.3674,0.22359,0.0002545,0,-5.3674,0.010839,1,0.04,5,0.04,0
-5.3558,0.22918,0.00026086,0,-5.3558,0.01111,1,0.041,5,0.041,0
-5.3443,0.23477,0.00026722,0,-5.3443,0.011381,1,0.042,5,0.042,0
-5.3327,0.24036,0.00027358,0,-5.3327,0.011652,1,0.043,5,0.043,0
-5.3212,0.24595,0.00027995,0,-5.3212,0.011922,1,0.044,5,0.044,0
-5.3096,0.25154,0.00028631,0,-5.3096,0.012193,1,0.045,5,0.045,0
-5.2981,0.25713,0.00029267,0,-5.2981,0.012464,1,0.046,5,0.046,0
-5.2865,0.26272,0.00029903,0,-5.2865,0.012735,1,0.047,5,0.047,0
-5.275,0.26831,0.0003054,0,-5.275,0.013006,1,0.048,5,0.048,0
-5.2634,0.2739,0.00031176,0,-5.2634,0.013277,1,0.049,5,0.049,0
-5.2519,0.27949,0.00031812,0,-5.2519,0.013548,1,0.05,5,0.05,0
-5.2403,0.28508,0.00032448,0,-5.2403,0.013819,1,0.051,5,0.051,0
-5.2288,0.29067,0.00033085,0,-5.2288,0.01409,1,0.052,5,0.052,0
-5.2172,0.29626,0.00033721,0,-5.2172,0.014361,1,0.053,5,0.053,0
-5.2057,0.30185,0.00034357,0,-5.2057,0.014632,1,0.054,5,0.054,0
-5.1941,0.30744,0.00034993,0,-5.1941,0.014903,1,0.055,5,0.055,0
-5.1826,0.31303,0.0003563,0,-5.1826,0.015174,1,0.056,5,0.056,0
-5.171,0.31862,0.00036266,0,-5.171,0.015445,1,0.057,5,0.057,0
-5.1595,0.32421,0.00036902,0,-5.1595,0.015716,1,0.058,5,0.058,0
-5.1479,0.3298,0.00037538,0,-5.1479,0.015987,1,0.059,5,0.059,0
-5.1364,0.33539,0.00038175,0,-5.1364,0.016258,1,0.06,5,0.06,0
-5.1248,0.34098,0.00038811,0,-5.1248,0.016529,1,0.061,5,0.061,0
-5.1133,0.34657,0.00039447,0,-5.1133,0.0168,1,0.062,5,0.062,0
-5.1017,0.35216,0.00040083,0,-5.1017,0.017071,1,0.063,5,0.063,0
-5.0902,0.35775,0.0004072,0,-5.0902,0.017342,1,0.064,5,0.064,0
-5.0786,0.36334,0.00041356,0,-5.0786,0.017613,1,0.065,5,0.065,0
-5.0671,0.36893,0.00041992,0,-5.0671,0.017884,1,0.066,5,0.066,0
-5.0555,0.37452,0.00042628,0,-5.0555,0.018155,1,0.067,5,0.067,0
-5.044,0.38011,0.00043264,0,-5.044,0.018426,1,0.068,5,0.068,0
-5.0324,0.3857,0.00043901,0,-5.0324,0.018697,1,0.069,5,0.069,0
-5.0209,0.39129,0.00044537,0,-5.0209,0.018968,1,0.07,5,0.07,0
-5.0093,0.39688,0.00045173,0,-5.0093,0.019239,1,0.071,5,0.071,0
-4.9978,0.40247,0.00045809,0,-4.9978,0.01951,1,0.072,5,0.072,0
-4.9862,0.40806,0.00046446,0,-4.9862,0.019781,1,0.073,5,0.073,0
-4.9747,0.41365,0.00047082,0,-4.9747,0.020051,1,0.074,5,0.074,0
-4.9631,0.41924,0.00047718,0,-4.9631,0.020322,1,0.075,5,0.075,0
-4.9516,0.42483,0.00048354,0,-4.9516,0.020593,1,0.076,5,0.076,0
-4.94,0.43042,0.00048991,0,-4.94,0.020864,1,0.077,5,0.077,0
-4.9285,0.436,0.00049627,0,-4.9285,0.021135,1,0.078,5,0.078,0
-4.9169,0.44159,0.00050263,0,-4.9169,0.021406,1,0.079,5,0.079,0
-4.9054,0.44718,0.00050899,0,-4.9054,0.021677,1,0.08,5,0.08,0
-4.8938,0.45277,0.00051536,0,-4.8938,0.021948,1,0.081,5,0.081,0
-4.8823,0.45836,0.00052172,0,-4.8823,0.022219,1,0.082,5,0.082,0
-4.8707,0.46395,0.00052808,0,-4.8707,0.02249,1,0.083,5,0.083,0
-4.8592,0.46954,0.00053444,0,-4.8592,0.022761,1,0.084,5,0.084,0
-4.8476,0.47513,0.00054081,0,-4.8476,0.023032,1,0.085,5,0.085,0
-4.8361,0.48072,0.00054717,0,-4.8361,0.023303,1,0.086,5,0.086,0
-4.8245,0.48631,0.00055353,0,-4.8245,0.023574,1,0.087,5,0.087,0
-4.813,0.4919,0.00055989,0,-4.813,0.023845,1,0.088,5,0.088,0
-4.8015,0.49749,0.00056626,0,-4.8015,0.024116,1,0.089,5,0.089,0
-4.7899,0.50308,0.00057262,0,-4.7899,0.024387,1,0.09,5,0.09,0
-4.7784,0.50808,0.00061145,0,-4.7784,0.024886,1,0.091,5,0.091,0
-4.7668,0.51256,0.00067801,0,-4.7668,0.02558,1,0.092,5,0.092,0
-4.7553,0.51705,0.00074458,0,-4.7553,0.026274,1,0.093,5,0.093,0
-4.7437,0.52153,0.00081115,0,-4.7437,0.026968,1,0.094,5,0.094,0
-4.7322,0.52602,0.00087771,0,-4.7322,0.027663,1,0.095,5,0.095,0
-4.7207,0.5305,0.00094428,0,-4.7207,0.028357,1,0.096,5,0.096,0
-4.7091,0.53499,0.0010108,0,-4.7091,0.029051,1,0.097,5,0.097,0
-4.6976,0.53947,0.0010774,0,-4.6976,0.029745,1,0.098,5,0.098,0
-4.6861,0.54396,0.001144,0,-4.6861,0.030439,1,0.099,5,0.099,0
-4.6745,0.54844,0.0012105,0,-4.6745,0.031133,1,0.1,5,0.1,0
-4.663,0.55292,0.0012771,0,-4.663,0.031827,1,0.101,5,0.101,0
-4.6514,0.55741,0.0013437,0,-4.6514,0.032522,1,0.102,5,0.102,0
-4.6399,0.56189,0.0014102,0,-4.6399,0.033216,1,0.103,5,0.103,0
-4.6284,0.56638,0.0014768,0,-4.6284,0.03391,1,0.104,5,0.104,0
-4.6168,0.57086,0.0015434,0,-4.6168,0.034604,1,0.105,5,0.105,0
-4.6053,0.57535,0.0016099,0,-4.6053,0.035298,1,0.106,5,0.106,0
-4.5938,0.57983,0.0016765,0,-4.5938,0.035992,1,0.107,5,0.107,0
-4.5822,0.58432,0.0017431,0,-4.5822,0.036686,1,0.108,5,0.108,0
-4.5707,0.5888,0.0018096,0,-4.5707,0.03738,1,0.109,5,0.109,0
-4.5592,0.59329,0.0018762,0,-4.5592,0.038075,1,0.11,5,0.11,0
-4.5476,0.59777,0.0019428,0,-4.5476,0.038769,1,0.111,5,0.111,0
-4.5361,0.60226,0.0020093,0,-4.5361,0.039463,1,0.112,5,0.112,0
-4.5245,0.60674,0.0020759,0,-4.5245,0.040157,1,0.113,5,0.113,0
-4.513,0.61123,0.0021425,0,-4.513,0.040851,1,0.114,5,0.114,0
-4.5015,0.61571,0.002209,0,-4.5015,0.041545,1,0.115,5,0.115,0
-4.4899,0.6202,0.0022756,0,-4.4899,0.042239,1,0.116,5,0.116,0
-4.4784,0.62468,0.0023422,0,-4.4784,0.042933,1,0.117,5,0.117,0
-4.4669,0.62917,0.0024087,0,-4.4669,0.043628,1,0.118,5,0.118,0
-4.4553,0.63365,0.0024753,0,-4.4553,0.044322,1,0.119,5,0.119,0
-4.4438,0.63814,0.0025419,0,-4.4438,0.045016,1,0.12,5,0.12,0
-4.4322,0.64262,0.0026084,0,-4.4322,0.04571,1,0.121,5,0.121,0
-4.4207,0.64711,0.002675,0,-4.4207,0.046404,1,0.122,5,0.122,0
-4.4092,0.65159,0.0027416,0,-4.4092,0.047098,1,0.123,5,0.123,0
-4.3976,0.65608,0.0028081,0,-4.3976,0.047792,1,0.124,5,0.124,0
-4.3861,0.66056,0.0028747,0,-4.3861,0.048486,1,0.125,5,0.125,0
-4.3746,0.66505,0.0029413,0,-4.3746,0.049181,1,0.126,5,0.126,0
-4.363,0.66953,0.0030078,0,-4.363,0.049875,1,0.127,5,0.127,0
-4.3515,0.67402,0.0030744,0,-4.3515,0.050569,1,0.128,5,0.128,0
-4.3399,0.6785,0.003141,0,-4.3399,0.051263,1,0.129,5,0.129,0
-4.3284,0.68298,0.0032075,0,-4.3284,0.051957,1,0.13,5,0.13,0
-4.3169,0.68747,0.0032741,0,-4.3169,0.052651,1,0.131,5,0.131,0
-4.3053,0.69195,0.0033407,0,-4.3053,0.053345,1,0.132,5,0.132,0
-4.2938,0.69644,0.0034072,0,-4.2938,0.05404,1,0.133,5,0.133,0
-4.2823,0.70092,0.0034738,0,-4.2823,0.054734,1,0.134,5,0.134,0
-4.2707,0.70541,0.0035404,0,-4.2707,0.055428,1,0.135,5,0.135,0
-4.2592,0.70989,0.0036069,0,-4.2592,0.056122,1,0.136,5,0.136,0
-4.2476,0.71438,0.0036735,0,-4.2476,0.056816,1,0.137,5,0.137,0
-4.2361,0.71886,0.0037401,0,-4.2361,0.05751,1,0.138,5,0.138,0
-4.2246,0.72335,0.0038066,0,-4.2246,0.058204,1,0.139,5,0.139,0
-4.213,0.72783,0.0038732,0,-4.213,0.058898,1,0.14,5,0.14,0
-4.2015,0.73232,0.0039397,0,-4.2015,0.059593,1,0.141,5,0.141,0
-4.19,0.7368,0.0040063,0,-4.19,0.060287,1,0.142,5,0.142,0
-4.1784,0.74129,0.0040729,0,-4.1784,0.060981,1,0.143,5,0.143,0
-4.1669,0.74577,0.0041394,0,-4.1669,0.061675,1,0.144,5,0.144,0
-4.1554,0.75026,0.004206,0,-4.1554,0.062369,1,0.145,5,0.145,0
-4.1438,0.75474,0.0042726,0,-4.1438,0.063063,1,0.146,5,0.146,0
-4.1323,0.75923,0.0043391,0,-4.1323,0.063757,1,0.147,5,0.147,0
-4.1207,0.76371,0.0044057,0,-4.1207,0.064451,1,0.148,5,0.148,0
-4.1092,0.7682,0.0044723,0,-4.1092,0.065146,1,0.149,5,0.149,0
-4.0977,0.77268,0.0045388,0,-4.0977,0.06584,1,0.15,5,0.15,0
-4.0861,0.77717,0.0046054,0,-4.0861,0.066534,1,0.151,5,0.151,0
-4.0746,0.78165,0.004672,0,-4.0746,0.067228,1,0.152,5,0.152,0
-4.0631,0.78614,0.0047385,0,-4.0631,0.067922,1,0.153,5,0.153,0
-4.0515,0.79062,0.0048051,0,-4.0515,0.068616,1,0.154,5,0.154,0
-4.04,0.79511,0.0048717,0,-4.04,0.06931,1,0.155,5,0.155,0
-4.0284,0.79959,0.0049382,0,-4.0284,0.070004,1,0.156,5,0.156,0
-4.0169,0.80408,0.0050048,0,-4.0169,0.070699,1,0.157,5,0.157,0
-4.0054,0.80856,0.0050714,0,-4.0054,0.071393,1,0.158,5,0.158,0
-3.9938,0.81304,0.0051379,0,-3.9938,0.072087,1,0.159,5,0.159,0
-3.9823,0.81753,0.0052045,0,-3.9823,0.072781,1,0.16,5,0.16,0
-3.9708,0.82201,0.0052711,0,-3.9708,0.073475,1,0.161,5,0.161,0
-3.9592,0.82645,0.0053359,0,-3.9592,0.074175,1,0.162,5,0.162,0
-3.9476,0.8307,0.0053951,0,-3.9476,0.074894,1,0.163,5,0.163,0
-3.936,0.83496,0.0054543,0,-3.936,0.075612,1,0.164,5,0.164,0
-3.9244,0.83921,0.0055134,0,-3.9244,0.076331,1,0.165,5,0.165,0
-3.9127,0.84347,0.0055726,0,-3.9127,0.07705,1,0.166,5,0.166,0
-3.9011,0.84772,0.0056318,0,-3.9011,0.077769,1,0.167,5,0.167,0
-3.8895,0.85198,0.0056909,0,-3.8895,0.078487,1,0.168,5,0.168,0
-3.8779,0.85624,0.0057501,0,-3.8779,0.079206,1,0.169,5,0.169,0
-3.8663,0.86049,0.0058093,0,-3.8663,0.079925,1,0.17,5,0.17,0
-3.8547,0.86475,0.0058684,0,-3.8547,0.080644,1,0.171,5,0.171,0
-3.8431,0.869,0.0059276,0,-3.8431,0.081362,1,0.172,5,0.172,0
-3.8314,0.87326,0.0059867,0,-3.8314,0.082081,1,0.173,5,0.173,0
-3.8198,0.87751,0.0060459,0,-3.8198,0.0828,1,0.174,5,0.174,0
-3.8082,0.88154,0.0060752,0,-3.8082,0.083595,1,0.175,5,0.175,0
-3.7963,0.88483,0.0060108,0,-3.7963,0.084628,1,0.176,5,0.176,0
-3.7845,0.88812,0.0059463,0,-3.7845,0.085662,1,0.177,5,0.177,0
-3.7726,0.89142,0.0058819,0,-3.7726,0.086696,1,0.178,5,0.178,0
-3.7608,0.89471,0.0058175,0,-3.7608,0.087729,1,0.179,5,0.179,0
-3.749,0.898,0.005753,0,-3.749,0.088763,1,0.18,5,0.18,0
-3.7371,0.9013,0.0056886,0,-3.7371,0.089797,1,0.181,5,0.181,0
-3.7253,0.90459,0.0056242,0,-3.7253,0.09083,1,0.182,5,0.182,0
-3.7135,0.90788,0.0055597,0,-3.7135,0.091864,1,0.183,5,0.183,0
-3.7016,0.91118,0.0054953,0,-3.7016,0.092898,1,0.184,5,0.184,0
-3.6898,0.91447,0.0054309,0,-3.6898,0.093931,1,0.185,5,0.185,0
-3.6779,0.91777,0.0053664,0,-3.6779,0.094965,1,0.186,5,0.186,0
-3.6661,0.92106,0.005302,0,-3.6661,0.095999,1,0.187,5,0.187,0
-3.6543,0.92435,0.0052376,0,-3.6543,0.097032,1,0.188,5,0.188,0
-3.6424,0.92765,0.0051731,0,-3.6424,0.098066,1,0.189,5,0.189,0
-3.6306,0.93094,0.0051087,0,-3.6306,0.0991,1,0.19,5,0.19,0
-3.6187,0.93423,0.0050443,0,-3.6187,0.10013,1,0.191,5,0.191,0
-3.6069,0.93753,0.0049798,0,-3.6069,0.10117,1,0.192,5,0.192,0
-3.5951,0.94082,0.0049154,0,-3.5951,0.1022,1,0.193,5,0.193,0
-3.5832,0.94409,0.0048545,0,-3.5832,0.10323,1,0.194,5,0.194,0
-3.5714,0.94733,0.0047998,0,-3.5714,0.10425,1,0.195,5,0.195,0
-3.5596,0.95056,0.0047452,0,-3.5596,0.10528,1,0.196,5,0.196,0
-3.5478,0.95379,0.0046905,0,-3.5478,0.1063,1,0.197,5,0.197,0
-3.536,0.95702,0.0046359,0,-3.536,0.10732,1,0.198,5,0.198,0
-3.5241,0.96026,0.0045812,0,-3.5241,0.10835,1,0.199,5,0.199,0
-3.5123,0.96349,0.0045266,0,-3.5123,0.10937,1,0.2,5,0.2,0
-3.5005,0.96672,0.004472,0,-3.5005,0.11039,1,0.201,5,0.201,0
-3.4887,0.96995,0.0044173,0,-3.4887,0.11142,1,0.202,5,0.202,0
-3.4769,0.97318,0.0043627,0,-3.4769,0.11244,1,0.203,5,0.203,0
-3.465,0.97642,0.004308,0,-3.465,0.11347,1,0.204,5,0.204,0
-3.4532,0.97965,0.0042534,0,-3.4532,0.11449,1,0.205,5,0.205,0
-3.4414,0.98288,0.0041987,0,-3.4414,0.11551,1,0.206,5,0.206,0
-3.4296,0.98611,0.0041441,0,-3.4296,0.11654,1,0.207,5,0.207,0
-3.4178,0.98935,0.0040894,0,-3.4178,0.11756,1,0.208,5,0.208,0
-3.4059,0.99258,0.0040348,0,-3.4059,0.11858,1,0.209,5,0.209,0
-3.3941,0.99581,0.0039801,0,-3.3941,0.11961,1,0.21,5,0.21,0
-3.3823,0.99904,0.0039255,0,-3.3823,0.12063,1,0.211,5,0.211,0
-3.3705,1.0023,0.0038709,0,-3.3705,0.12165,1,0.212,5,0.212,0
-3.3587,1.0055,0.0038162,0,-3.3587,0.12268,1,0.213,5,0.213,0
-3.3469,1.0087,0.0037616,0,-3.3469,0.1237,1,0.214,5,0.214,0
-3.335,1.012,0.0037069,0,-3.335,0.12472,1,0.215,5,0.215,0
-3.3232,1.0152,0.0036523,0,-3.3232,0.12575,1,0.216,5,0.216,0
-3.3114,1.0184,0.0035976,0,-3.3114,0.12677,1,0.217,5,0.217,0
-3.2996,1.0217,0.003543,0,-3.2996,0.12779,1,0.218,5,0.218,0
-3.2878,1.0249,0.0034883,0,-3.2878,0.12882,1,0.219,5,0.219,0
-3.2759,1.0281,0.0034337,0,-3.2759,0.12984,1,0.22,5,0.22,0
-3.2641,1.0314,0.003379,0,-3.2641,0.13086,1,0.221,5,0.221,0
-3.2523,1.0346,0.0033244,0,-3.2523,0.13189,1,0.222,5,0.222,0
-3.2405,1.0378,0.0032698,0,-3.2405,0.13291,1,0.223,5,0.223,0
-3.2287,1.0411,0.0032151,0,-3.2287,0.13393,1,0.224,5,0.224,0
-3.2168,1.0443,0.0031605,0,-3.2168,0.13496,1,0.225,5,0.225,0
-3.205,1.0475,0.0031058,0,-3.205,0.13598,1,0.226,5,0.226,0
-3.1932,1.0508,0.0030512,0,-3.1932,0.137,1,0.227,5,0.227,0
-3.1814,1.054,0.0029965,0,-3.1814,0.13803,1,0.228,5,0.228,0
-3.1696,1.0572,0.0029419,0,-3.1696,0.13905,1,0.229,5,0.229,0
-3.1578,1.0605,0.0028872,0,-3.1578,0.14007,1,0.23,5,0.23,0
-3.1459,1.0637,0.0028326,0,-3.1459,0.1411,1,0.231,5,0.231,0
-3.1341,1.0669,0.0027779,0,-3.1341,0.14212,1,0.232,5,0.232,0
-3.1223,1.0702,0.0027233,0,-3.1223,0.14315,1,0.233,5,0.233,0
-3.1105,1.0734,0.0026687,0,-3.1105,0.14417,1,0.234,5,0.234,0
-3.0987,1.0766,0.002614,0,-3.0987,0.14519,1,0.235,5,0.235,0
-3.0868,1.0799,0.0025594,0,-3.0868,0.14622,1,0.236,5,0.236,0
-3.075,1.0831,0.0025047,0,-3.075,0.14724,1,0.237,5,0.237,0
-3.0632,1.0863,0.0024501,0,-3.0632,0.14826,1,0.238,5,0.238,0
-3.0514,1.0896,0.0023954,0,-3.0514,0.14929,1,0.239,5,0.239,0
-3.0396,1.0928,0.0023408,0,-3.0396,0.15031,1,0.24,5,0.24,0
-3.0277,1.096,0.0022861,0,-3.0277,0.15133,1,0.241,5,0.241,0
-3.0159,1.0993,0.0022315,0,-3.0159,0.15236,1,0.242,5,0.242,0
-3.0041,1.1025,0.0021768,0,-3.0041,0.15338,1,0.243,5,0.243,0
-2.9923,1.1057,0.0021222,0,-2.9923,0.1544,1,0.244,5,0.244,0
-2.9805,1.1089,0.0020676,0,-2.9805,0.15543,1,0.245,5,0.245,0
-2.9686,1.1122,0.0020129,0,-2.9686,0.15645,1,0.246,5,0.246,0
-2.9568,1.1154,0.0019583,0,-2.9568,0.15747,1,0.247,5,0.247,0
-2.945,1.1186,0.0019036,0,-2.945,0.1585,1,0.248,5,0.248,0
-2.9332,1.1219,0.001849,0,-2.9332,0.15952,1,0.249,5,0.249,0
-2.9214,1.1251,0.0017943,0,-2.9214,0.16054,1,0.25,5,0.25,0
-2.9096,1.1283,0.0017397,0,-2.9096,0.16157,1,0.251,5,0.251,0
-2.8977,1.1316,0.001685,0,-2.8977,0.16259,1,0.252,5,0.252,0
-2.8859,1.1348,0.0016304,0,-2.8859,0.16361,1,0.253,5,0.253,0
-2.8741,1.138,0.0015757,0,-2.8741,0.16464,1,0.254,5,0.254,0
-2.8623,1.1413,0.0015211,0,-2.8623,0.16566,1,0.255,5,0.255,0
-2.8505,1.1445,0.0014665,0,-2.8505,0.16668,1,0.256,5,0.256,0
-2.8386,1.1477,0.0014118,0,-2.8386,0.16771,1,0.257,5,0.257,0
-2.8268,1.151,0.0013572,0,-2.8268,0.16873,1,0.258,5,0.258,0
-2.815,1.1542,0.0013025,0,-2.815,0.16975,1,0.259,5,0.259,0
-2.8032,1.1574,0.0012479,0,-2.8032,0.17078,1,0.26,5,0.26,0
-2.7913,1.1599,0.001176,0,-2.7913,0.17199,1,0.261,5,0.261,0
-2.7795,1.1624,0.0011035,0,-2.7795,0.17322,1,0.262,5,0.262,0
-2.7677,1.1648,0.0010309,0,-2.7677,0.17444,1,0.263,5,0.263,0
-2.7558,1.1672,0.00095834,0,-2.7558,0.17567,1,0.264,5,0.264,0
-2.744,1.1697,0.00088578,0,-2.744,0.17689,1,0.265,5,0.265,0
-2.7321,1.1721,0.00081321,0,-2.7321,0.17812,1,0.266,5,0.266,0
-2.7203,1.1746,0.00074065,0,-2.7203,0.17934,1,0.267,5,0.267,0
-2.7085,1.177,0.00066809,0,-2.7085,0.18057,1,0.268,5,0.268,0
-2.6966,1.1795,0.00059552,0,-2.6966,0.18179,1,0.269,5,0.269,0
-2.6848,1.1819,0.00052296,0,-2.6848,0.18302,1,0.27,5,0.27,0
-2.6729,1.1844,0.0004504,0,-2.6729,0.18424,1,0.271,5,0.271,0
-2.6611,1.1868,0.00037783,0,-2.6611,0.18547,1,0.272,5,0.272,0
-2.6493,1.1892,0.00030527,0,-2.6493,0.18669,1,0.273,5,0.273,0
-2.6374,1.1917,0.0002327,0,-2.6374,0.18791,1,0.274,5,0.274,0
-2.6256,1.1941,0.00016014,0,-2.6256,0.18914,1,0.275,5,0.275,0
-2.6138,1.1966,8.7577e-05,0,-2.6138,0.19036,1,0.276,5,0.276,0
-2.6019,1.199,1.5012e-05,0,-2.6019,0.19159,1,0.277,5,0.277,0
-2.5901,1.2015,-5.7551e-05,0,-2.5901,0.19281,1,0.278,5,0.278,0
-2.5782,1.2039,-0.00013012,0,-2.5782,0.19404,1,0.279,5,0.279,0
-2.5664,1.2064,-0.00020268,0,-2.5664,0.19526,1,0.28,5,0.28,0
-2.5546,1.2088,-0.00027524,0,-2.5546,0.19649,1,0.281,5,0.281,0
-2.5427,1.2113,-0.00034781,0,-2.5427,0.19771,1,0.282,5,0.282,0
-2.5309,1.2137,-0.00042037,0,-2.5309,0.19894,1,0.283,5,0.283,0
-2.519,1.2161,-0.00049293,0,-2.519,0.20016,1,0.284,5,0.284,0
-2.5072,1.2186,-0.0005655,0,-2.5072,0.20139,1,0.285,5,0.285,0
-2.4954,1.221,-0.00063806,0,-2.4954,0.20261,1,0.286,5,0.286,0
-2.4835,1.2235,-0.00071063,0,-2.4835,0.20383,1,0.287,5,0.287,0
-2.4717,1.2259,-0.00078319,0,-2.4717,0.20506,1,0.288,5,0.288,0
-2.4598,1.2284,-0.00085575,0,-2.4598,0.20628,1,0.289,5,0.289,0
-2.448,1.2308,-0.00092832,0,-2.448,0.20751,1,0.29,5,0.29,0
-2.4362,1.2333,-0.0010009,0,-2.4362,0.20873,1,0.291,5,0.291,0
-2.4243,1.2357,-0.0010734,0,-2.4243,0.20996,1,0.292,5,0.292,0
-2.4125,1.2381,-0.001146,0,-2.4125,0.21118,1,0.293,5,0.293,0
-2.4007,1.2403,-0.0011459,0,-2.4007,0.21246,1,0.294,5,0.294,0
-2.3889,1.2423,-0.0011172,0,-2.3889,0.21376,1,0.295,5,0.295,0
-2.3771,1.2443,-0.0010885,0,-2.3771,0.21506,1,0.296,5,0.296,0
-2.3653,1.2463,-0.0010598,0,-2.3653,0.21636,1,0.297,5,0.297,0
-2.3535,1.2483,-0.0010311,0,-2.3535,0.21766,1,0.298,5,0.298,0
-2.3417,1.2504,-0.0010023,0,-2.3417,0.21896,1,0.299,5,0.299,0
-2.3299,1.2524,-0.00097364,0,-2.3299,0.22026,1,0.3,5,0.3,0
-2.3181,1.2544,-0.00094493,0,-2.3181,0.22156,1,0.301,5,0.301,0
-2.3063,1.2564,-0.00091623,0,-2.3063,0.22286,1,0.302,5,0.302,0
-2.2945,1.2584,-0.00088752,0,-2.2945,0.22415,1,0.303,5,0.303,0
-2.2827,1.2604,-0.00085882,0,-2.2827,0.22545,1,0.304,5,0.304,0
-2.2709,1.2625,-0.00083011,0,-2.2709,0.22675,1,0.305,5,0.305,0
-2.2591,1.2645,-0.00080141,0,-2.2591,0.22805,1,0.306,5,0.306,0
-2.2473,1.2665,-0.0007727,0,-2.2473,0.22935,1,0.307,5,0.307,0
-2.2356,1.2685,-0.00074399,0,-2.2356,0.23065,1,0.308,5,0.308,0
-2.2238,1.2705,-0.00071529,0,-2.2238,0.23195,1,0.309,5,0.309,0
-2.212,1.2725,-0.00068658,0,-2.212,0.23325,1,0.31,5,0.31,0
-2.2002,1.2745,-0.00065788,0,-2.2002,0.23455,1,0.311,5,0.311,0
-2.1884,1.2766,-0.00062917,0,-2.1884,0.23585,1,0.312,5,0.312,0
-2.1766,1.2786,-0.00060047,0,-2.1766,0.23715,1,0.313,5,0.313,0
-2.1648,1.2806,-0.00057176,0,-2.1648,0.23845,1,0.314,5,0.314,0
-2.153,1.2826,-0.00054305,0,-2.153,0.23975,1,0.315,5,0.315,0
