"vector:0","vector:1","vector:2","concentration","vorticity","stream","arc_length","Points:0","Points:1","Points:2"
-1.3202,0.69988,0,-0.00029619,-0.00029619,-0.00029619,0,0.69988,1.3202,0
-1.3734,0.59402,0,0.0010562,0.0010562,0.0010562,0.1185,0.59402,1.3734,0
-1.427,0.45256,0,-0.0011398,-0.0011398,-0.0011398,0.2698,0.45256,1.427,0
-1.4393,0.41561,0,-0.0017159,-0.0017159,-0.0017159,0.30871,0.41561,1.4393,0
-1.4464,0.39021,0,-0.0015862,-0.0015862,-0.0015862,0.33509,0.39021,1.4464,0
-1.4781,0.25547,0,0.0024433,0.0024433,0.0024433,0.4735,0.25547,1.4781,0
-1.4782,0.25496,0,0.0024546,0.0024546,0.0024546,0.47402,0.25496,1.4782,0
-1.4782,0.25477,0,0.0024559,0.0024559,0.0024559,0.47421,0.25477,1.4782,0
-1.4919,0.13017,0,0.00075261,0.00075261,0.00075261,0.59956,0.13017,1.4919,0
-1.4958,-0.0052754,0,-0.0023304,-0.0023304,-0.0023304,0.73507,-0.0052754,1.4958,0
-1.4952,-0.079801,0,-0.0030004,-0.0030004,-0.0030004,0.80959,-0.079801,1.4952,0
-1.4867,-0.16866,0,0.0024346,0.0024346,0.0024346,0.89886,-0.16866,1.4867,0
-1.473,-0.26973,0,0.0073069,0.0073069,0.0073069,1.0009,-0.26973,1.473,0
-1.4593,-0.33071,0,0.005189,0.005189,0.005189,1.0633,-0.33071,1.4593,0
-1.4242,-0.46227,0,-0.0070652,-0.0070652,-0.0070652,1.1995,-0.46227,1.4242,0
-1.3933,-0.54738,0,-0.00061816,-0.00061816,-0.00061816,1.2901,-0.54738,1.3933,0
-1.3632,-0.6219,0,0.0016548,0.0016548,0.0016548,1.3704,-0.6219,1.3632,0
-1.3357,-0.67766,0,-0.0047714,-0.0047714,-0.0047714,1.4326,-0.67766,1.3357,0
-1.2989,-0.74278,0,-0.001754,-0.001754,-0.001754,1.5074,-0.74278,1.2989,0
-1.252,-0.82179,0,0.0004392,0.0004392,0.0004392,1.5993,-0.82179,1.252,0
-1.2209,-0.86684,0,0.0025556,0.0025556,0.0025556,1.654,-0.86684,1.2209,0
-1.1697,-0.9322,0,0.0017137,0.0017137,0.0017137,1.737,-0.9322,1.1697,0
-1.0787,-1.042,0,0.0021518,0.0021518,0.0021518,1.8797,-1.042,1.0787,0
-1.0769,-1.044,0,0.0023431,0.0023431,0.0023431,1.8824,-1.044,1.0769,0
-1.0745,-1.0463,0,0.0022183,0.0022183,0.0022183,1.8857,-1.0463,1.0745,0
-0.96484,-1.1446,0,-0.0004957,-0.0004957,-0.0004957,2.0329,-1.1446,0.96484,0
-0.89998,-1.1959,0,-0.0017148,-0.0017148,-0.0017148,2.1156,-1.1959,0.89998,0
-0.80621,-1.2616,0,0.0029938,0.0029938,0.0029938,2.2302,-1.2616,0.80621,0
-0.75118,-1.2946,0,0.0070124,0.0070124,0.0070124,2.2943,-1.2946,0.75118,0
-0.60181,-1.3723,0,-0.01276,-0.01276,-0.01276,2.4626,-1.3723,0.60181,0
-0.58284,-1.3815,0,-0.01446,-0.01446,-0.01446,2.4837,-1.3815,0.58284,0
